id_konten,judul,mata_kuliah,platform,format,durasi,kesulitan,rating_pengguna
KNT001,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Coursera,Artikel,81,Mudah,3.21
KNT002,Konsep Kernel dan Sistem File,Sistem Operasi,Medium,PDF,85,Sulit,2.94
KNT003,Graph dan Tree dalam Matdis,Matematika Diskrit,Coursera,Slide,104,Sulit,4.38
KNT004,Dasar-dasar Sistem Operasi,Sistem Operasi,YouTube,Course,32,Sedang,4.52
KNT005,Belajar Pemrograman dari Nol,Pemrograman Dasar,Modul Kampus,Artikel,90,Mudah,4.98
KNT006,Konten Pembelajaran Informatika,Statistik,Medium,Video,96,Mudah,3.53
KNT007,Konten Pembelajaran Informatika,Statistik,Modul Kampus,Course,64,Sulit,3.43
KNT008,Penerapan Logika Matematika,Matematika Diskrit,Medium,Artikel,81,Sulit,4.44
KNT009,Pengenalan Basis Data Relasional,Basis Data,Coursera,Slide,73,Sedang,3.35
KNT010,Manajemen Proses dan Memori OS,Sistem Operasi,Medium,Course,16,Sulit,4.83
KNT011,Konten Pembelajaran Informatika,Statistik,Medium,Artikel,54,Sedang,4.65
KNT012,Penerapan Logika Matematika,Matematika Diskrit,YouTube,Video,92,Mudah,3.57
KNT013,CRUD pada Sistem Basis Data,Basis Data,Dicoding,Course,95,Sulit,4.38
KNT014,Percabangan dan Perulangan Dasar,Pemrograman Dasar,YouTube,Course,58,Sulit,4.39
KNT015,Dasar SQL dan Relasi Tabel,Basis Data,Modul Kampus,PDF,110,Sulit,2.76
KNT016,Belajar Pemrograman dari Nol,Pemrograman Dasar,Coursera,Artikel,77,Sedang,4.76
KNT017,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Coursera,Artikel,50,Mudah,3.76
KNT018,CRUD pada Sistem Basis Data,Basis Data,Medium,PDF,99,Mudah,4.57
KNT019,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Coursera,Slide,63,Mudah,3.3
KNT020,Dasar Struktur Pemrograman,Pemrograman Dasar,Dicoding,Slide,62,Sulit,4.74
KNT021,Konten Pembelajaran Informatika,Statistik,Dicoding,PDF,29,Mudah,3.47
KNT022,Konten Pembelajaran Informatika,Statistik,Medium,Course,48,Mudah,2.53
KNT023,Dasar Struktur Pemrograman,Pemrograman Dasar,Medium,Video,58,Mudah,4.76
KNT024,Interupsi dan Deadlock OS,Sistem Operasi,Modul Kampus,Slide,33,Sulit,2.73
KNT025,Dasar-dasar Sistem Operasi,Sistem Operasi,Medium,Video,106,Sulit,3.3
KNT026,Konten Pembelajaran Informatika,Statistik,YouTube,Artikel,78,Sedang,4.88
KNT027,Konten Pembelajaran Informatika,Statistik,YouTube,Artikel,70,Sedang,4.88
KNT028,CRUD pada Sistem Basis Data,Basis Data,YouTube,Slide,40,Sedang,3.93
KNT029,Pengenalan Basis Data Relasional,Basis Data,Dicoding,Course,118,Sedang,4.08
KNT030,Konten Pembelajaran Informatika,Statistik,Coursera,Artikel,38,Mudah,3.62
KNT031,Dasar-dasar Sistem Operasi,Sistem Operasi,Modul Kampus,Video,48,Sedang,3.23
KNT032,CRUD pada Sistem Basis Data,Basis Data,Medium,Course,119,Sedang,3.32
KNT033,Percabangan dan Perulangan Dasar,Pemrograman Dasar,Modul Kampus,Slide,100,Sedang,4.18
KNT034,Normalisasi dan Desain Tabel,Basis Data,Dicoding,Artikel,28,Sulit,4.38
KNT035,Normalisasi dan Desain Tabel,Basis Data,Medium,Slide,113,Mudah,4.48
KNT036,Normalisasi dan Desain Tabel,Basis Data,Medium,Course,69,Sulit,4.47
KNT037,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Dicoding,Course,17,Mudah,2.73
KNT038,Dasar Struktur Pemrograman,Pemrograman Dasar,Coursera,Course,81,Sedang,3.74
KNT039,Konten Pembelajaran Informatika,Statistik,Medium,PDF,62,Sulit,2.64
KNT040,Dasar-dasar Sistem Operasi,Sistem Operasi,Coursera,PDF,63,Mudah,3.87
KNT041,Interupsi dan Deadlock OS,Sistem Operasi,Dicoding,Video,81,Sulit,3.6
KNT042,Konten Pembelajaran Informatika,Statistik,Modul Kampus,Course,77,Sulit,4.72
KNT043,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Medium,Course,27,Mudah,3.38
KNT044,Manajemen Proses dan Memori OS,Sistem Operasi,Coursera,Artikel,59,Mudah,2.79
KNT045,Dasar SQL dan Relasi Tabel,Basis Data,Medium,Video,41,Sedang,2.86
KNT046,Interupsi dan Deadlock OS,Sistem Operasi,Coursera,Video,42,Sedang,4.4
KNT047,Dasar Struktur Pemrograman,Pemrograman Dasar,Medium,Slide,36,Sedang,4.05
KNT048,Percabangan dan Perulangan Dasar,Pemrograman Dasar,Medium,Course,52,Sulit,2.75
KNT049,Konten Pembelajaran Informatika,Statistik,Medium,Artikel,92,Sedang,2.71
KNT050,Graph dan Tree dalam Matdis,Matematika Diskrit,Modul Kampus,Slide,20,Mudah,4.25
KNT051,Pengenalan Logika dan Himpunan,Matematika Diskrit,Medium,PDF,67,Sulit,2.68
KNT052,Interupsi dan Deadlock OS,Sistem Operasi,Coursera,Course,118,Mudah,4.55
KNT053,Pengenalan Logika dan Himpunan,Matematika Diskrit,Modul Kampus,Video,57,Sulit,4.27
KNT054,Konsep Dasar Matematika Diskrit,Matematika Diskrit,YouTube,Course,21,Mudah,2.7
KNT055,Simulasi Penjadwalan Proses,Sistem Operasi,Coursera,Course,78,Mudah,2.71
KNT056,Belajar Pemrograman dari Nol,Pemrograman Dasar,Coursera,PDF,102,Sedang,4.97
KNT057,Pengenalan Basis Data Relasional,Basis Data,YouTube,Artikel,116,Sedang,3.44
KNT058,Konten Pembelajaran Informatika,Statistik,Modul Kampus,Artikel,34,Sulit,3.43
KNT059,Percabangan dan Perulangan Dasar,Pemrograman Dasar,Medium,Artikel,16,Sedang,4.53
KNT060,Konsep Dasar Matematika Diskrit,Matematika Diskrit,Coursera,Slide,44,Sulit,4.87
KNT061,Penerapan Logika Matematika,Matematika Diskrit,YouTube,Artikel,58,Mudah,4.97
KNT062,Interupsi dan Deadlock OS,Sistem Operasi,Medium,Slide,96,Sulit,4.38
KNT063,Konten Pembelajaran Informatika,Statistik,Modul Kampus,PDF,87,Mudah,3.44
KNT064,CRUD pada Sistem Basis Data,Basis Data,Coursera,Course,87,Mudah,2.71
KNT065,Simulasi Penjadwalan Proses,Sistem Operasi,Medium,Slide,15,Mudah,4.44
KNT066,Interupsi dan Deadlock OS,Sistem Operasi,Medium,PDF,19,Sulit,3.9
KNT067,Pengenalan Basis Data Relasional,Basis Data,Dicoding,Slide,34,Sulit,3.56
KNT068,Dasar SQL dan Relasi Tabel,Basis Data,YouTube,PDF,112,Sedang,4.77
KNT069,Konsep Dasar Matematika Diskrit,Matematika Diskrit,Medium,Artikel,107,Sedang,2.78
KNT070,Dasar-dasar Sistem Operasi,Sistem Operasi,Modul Kampus,Artikel,85,Mudah,3.73
KNT071,Tutorial Variabel dan Tipe Data,Pemrograman Dasar,Dicoding,PDF,102,Mudah,2.53
